,totalSeasons,Plot,Rated,Response,Language,Title,Country,Writer,Metascore,imdbRating,Director,Released,Actors,Year,Genre,Awards,Runtime,Type,Poster,imdbVotes,imdbID,Awards Wins,Awards Nominated,Primetime Emmys Wins,Primetime Emmys Nominations,Oscar Nominations,Oscar Wins,Golden Globe Nominations,Golden Globe Wins,BAFTA Nominations,BAFTA Wins
4860,none,A married couple wake up to discover that the sex tape they made the evening before has gone missing; leading to a frantic search for its whereabouts.,R,True,English; Ukrainian,Sex Tape,USA,Kate Angelo (screenplay); Jason Segel (screenplay); Nicholas Stoller (screenplay); Kate Angelo (story),36,5.1,Jake Kasdan,18 Jul 2014,Cameron Diaz; Jason Segel; Rob Corddry; Ellie Kemper,2014,Comedy; Romance,2 wins & 3 nominations.,94 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNDYzMzg5OTA0Ml5BMl5BanBnXkFtZTgwNjQzNzExMjE@._V1_SX300.jpg,86346,tt1956620,2,3,0,0,0,0,0,0,0,0
4862,none,After a neighborhood tragedy; two adolescent brothers confront changing relationships; the mystery of nature; and their own mortality.,NOT RATED,True,English,Hide Your Smiling Faces,USA,Daniel Patrick Carbone (screenplay),69,6.1,Daniel Patrick Carbone,25 Mar 2014,Ryan Jones; Nathan Varnson; Colm O'Leary; Thomas Cruz,2013,Drama,8 wins & 6 nominations.,81 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMjg2NzYyOF5BMl5BanBnXkFtZTgwNzEyNDIzMTE@._V1_SX300.jpg,1364,tt1964773,8,6,0,0,0,0,0,0,0,0
4864,none,A Chechen Muslim illegally immigrates to Hamburg; where he gets caught in the international war on terror.,R,True,English; Turkish,A Most Wanted Man,UK; USA; Germany,Andrew Bovell (screenplay); John le Carré (novel); Stephen Cornwell (additional writing),73,6.8,Anton Corbijn,01 Aug 2014,Grigoriy Dobrygin; Philip Seymour Hoffman; Homayoun Ershadi; Mehdi Dehbi,2014,Crime; Drama; Thriller,2 wins & 5 nominations.,122 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BODY2MTA0MjYzMl5BMl5BanBnXkFtZTgwOTE3NzE4MTE@._V1_SX300.jpg,58870,tt1972571,2,5,0,0,0,0,0,0,0,0
4867,none,When Dr. Jane Foster gets cursed with a powerful entity known as the Aether; Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves.,PG-13,True,English,Thor: The Dark World,USA,Christopher Yost (screenplay); Christopher Markus (screenplay); Stephen McFeely (screenplay); Don Payne (story by); Robert Rodat (story by); Stan Lee (based on the Marvel comics by); Larry Lieber (based on the Marvel comics by); Jack Kirby (based on the Marvel comics by),54,7.1,Alan Taylor,08 Nov 2013,Chris Hemsworth; Natalie Portman; Tom Hiddleston; Anthony Hopkins,2013,Action; Adventure; Fantasy,2 wins & 18 nominations.,112 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyNzAwOTUxOF5BMl5BanBnXkFtZTcwMTE0OTc5OQ@@._V1_SX300.jpg,424589,tt1981115,2,18,0,0,0,0,0,0,0,0
4868,none,Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational and is churning out menacing food-animal hybrids.,PG,True,English,Cloudy with a Chance of Meatballs 2,USA,Erica Rivinoja (screenplay); John Francis Daley (screenplay); Jonathan Goldstein (screenplay); Phil Lord (story); Christopher Miller (story); Erica Rivinoja (story); Judi Barrett (characters); Ron Barrett (characters),59,6.5,Cody Cameron; Kris Pearn,27 Sep 2013,Bill Hader; Anna Faris; James Caan; Will Forte,2013,Animation; Adventure; Comedy,16 nominations.,95 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDM0MDI1NF5BMl5BanBnXkFtZTcwNzQ5NzYxOQ@@._V1_SX300.jpg,65800,tt1985966,0,16,0,0,0,0,0,0,0,0
4869,none,The U.S. government recruits Machete to battle his way through Mexico in order to take down an arms dealer who looks to launch a weapon into space.,R,True,English; Spanish,Machete Kills,Russia; USA,Kyle Ward (screenplay); Robert Rodriguez (story); Marcel Rodriguez (story),41,5.6,Robert Rodriguez,11 Oct 2013,Danny Trejo; Mel Gibson; Demián Bichir; Amber Heard,2013,Action; Crime; Sci-Fi,3 nominations.,107 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2MzUxMTM3M15BMl5BanBnXkFtZTgwMzA2NzkxMDE@._V1_SX300.jpg,60631,tt2002718,0,3,0,0,0,0,0,0,0,0
4870,none,After they are forced to live next to a fraternity house; a couple with a newborn baby do whatever they can to take them down.,R,True,English,Neighbors,USA,Andrew Jay Cohen; Brendan O'Brien,68,6.4,Nicholas Stoller,09 May 2014,Seth Rogen; Rose Byrne; Elise Vargas; Zoey Vargas,2014,Comedy,6 wins & 11 nominations.,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BOTQ0OTkzODgyNF5BMl5BanBnXkFtZTgwOTA3OTE4MDE@._V1_SX300.jpg,225135,tt2004420,6,11,0,0,0,0,0,0,0,0
4872,none,A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.,PG-13,True,English,Guardians of the Galaxy,USA; UK,James Gunn; Nicole Perlman; Dan Abnett (based on the Marvel comic book by); Andy Lanning (based on the Marvel comic book by),76,8.1,James Gunn,01 Aug 2014,Chris Pratt; Zoe Saldana; Dave Bautista; Vin Diesel,2014,Action; Adventure; Sci-Fi,Nominated for 2 Oscars. Another 48 wins & 92 nominations.,121 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwMjU5OTgxNjZeQTJeQWpwZ15BbWU4MDUxNDYxODEx._V1_SX300.jpg,708900,tt2015381,48,94,0,0,2,0,0,0,0,0
4874,none,After a collision with a shipping container at sea; a resourceful sailor finds himself; despite all efforts to the contrary; staring his mortality in the face.,PG-13,True,English,All Is Lost,USA,J.C. Chandor,87,6.9,J.C. Chandor,07 Nov 2013,Robert Redford,2013,Action; Adventure; Drama,Nominated for 1 Oscar. Another 3 wins & 45 nominations.,106 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI0MzIyMjU1N15BMl5BanBnXkFtZTgwOTk1MjQxMDE@._V1_SX300.jpg,60543,tt2017038,3,46,0,0,1,0,0,0,0,0
4876,none,A Romanian police officer teams up with a small crew of old friends from the World War II Jewish Resistance to pull off a heist by convincing everyone at the scene of the crime that they are only filming a movie.,NOT RATED,True,English,Closer to the Moon,Romania; USA; Italy; Poland; France,Nae Caranfil,47,7.1,Nae Caranfil,17 Apr 2015,Vera Farmiga; Mark Strong; Harry Lloyd; Anton Lesser,2014,Comedy; Drama,9 wins & 3 nominations.,112 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NjAzOTAxOF5BMl5BanBnXkFtZTgwNjE5MTUxNTE@._V1_SX300.jpg,2930,tt2017486,9,3,0,0,0,0,0,0,0,0
4877,none,An air marshal springs into action during a transatlantic flight after receiving a series of text messages that put his fellow passengers at risk unless the airline transfers $150 million into an off-shore account.,PG-13,True,English; German,Non-Stop,UK; France; USA; Canada,John W. Richardson (screenplay); Christopher Roach (screenplay); Ryan Engle (screenplay); John W. Richardson (story); Christopher Roach (story),56,7.0,Jaume Collet-Serra,28 Feb 2014,Liam Neeson; Julianne Moore; Scoot McNairy; Michelle Dockery,2014,Action; Mystery; Thriller,1 nomination.,106 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BOTI3NzcxMjkzMl5BMl5BanBnXkFtZTgwMDY0NTQ0MDE@._V1_SX300.jpg,204681,tt2024469,0,1,0,0,0,0,0,0,0,0
4878,none,In the antebellum United States; Solomon Northup; a free black man from upstate New York; is abducted and sold into slavery.,R,True,English,12 Years a Slave,USA; UK,"John Ridley (screenplay); Solomon Northup (based on ""Twelve Years a Slave"" by)",96,8.1,Steve McQueen,08 Nov 2013,Chiwetel Ejiofor; Dwight Henry; Dickie Gravois; Bryan Batt,2013,Biography; Drama; History,Won 3 Oscars. Another 234 wins & 312 nominations.,134 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,453669,tt2024544,237,312,0,0,0,3,0,0,0,0
4889,none,Twenty years since their first adventure; Lloyd and Harry go on a road trip to find Harry's newly discovered daughter; who was given up for adoption.,PG-13,True,English; Cantonese,Dumb and Dumber To,USA,Sean Anders; John Morris; Peter Farrelly; Bobby Farrelly; Bennett Yellin; Mike Cerrone; Bennett Yellin (based on characters created by); Peter Farrelly (based on characters created by); Bobby Farrelly (based on characters created by),36,5.7,Bobby Farrelly; Peter Farrelly,14 Nov 2014,Jim Carrey; Jeff Daniels; Rob Riggle; Laurie Holden,2014,Comedy,1 win & 6 nominations.,109 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMzA0MzAyMF5BMl5BanBnXkFtZTgwMjMyNjcwMjE@._V1_SX300.jpg,99074,tt2096672,1,6,0,0,0,0,0,0,0,0
4906,none,Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney; who seeks to adapt her Mary Poppins books for the big screen.,PG-13,True,English,Saving Mr. Banks,USA; UK; Australia,Kelly Marcel; Sue Smith,65,7.5,John Lee Hancock,20 Dec 2013,Emma Thompson; Tom Hanks; Annie Rose Buckley; Colin Farrell,2013,Biography; Comedy; Drama,Nominated for 1 Oscar. Another 12 wins & 71 nominations.,125 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0MTQ3NzE4Nl5BMl5BanBnXkFtZTcwMzA4NDM5OQ@@._V1_SX300.jpg,119957,tt2140373,12,72,0,0,1,0,0,0,0,0
4913,none,A young woman goes on a 1;700-mile trek across the deserts of West Australia with four camels and her faithful dog.,PG-13,True,English; Aboriginal,Tracks,Australia,Marion Nelson (screenplay); Robyn Davidson (book),78,7.2,John Curran,06 Mar 2014,Lily Pearl; Mia Wasikowska; Philip Dodd; Fiona Press,2013,Adventure; Biography; Drama,2 wins & 18 nominations.,112 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BOTkyMjIzOTQ4MV5BMl5BanBnXkFtZTgwOTkzMDM1MTE@._V1_SX300.jpg,19740,tt2167266,2,18,0,0,0,0,0,0,0,0
4919,none,Crunch Calhoun; a semi-reformed art thief; agrees to get his old gang back together to pull off one last heist.,R,True,English; Spanish,The Art of the Steal,Canada; USA,Jonathan Sobol,53,6.3,Jonathan Sobol,20 Jun 2014,Kurt Russell; Matt Dillon; Jay Baruchel; Kenneth Welsh,2013,Comedy; Crime,5 nominations.,90 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BNjUxNjYyNTUxMF5BMl5BanBnXkFtZTgwNDgyMDcyMTE@._V1_SX300.jpg,19093,tt2172985,0,5,0,0,0,0,0,0,0,0
4922,none,A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.,PG,True,English,Into the Woods,USA; UK; Canada,James Lapine (screenplay); Stephen Sondheim (musical); James Lapine (musical),69,6.0,Rob Marshall,25 Dec 2014,Anna Kendrick; Daniel Huttlestone; James Corden; Emily Blunt,2014,Adventure; Comedy; Drama,Nominated for 3 Oscars. Another 11 wins & 69 nominations.,125 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4MzQ4OTY3NF5BMl5BanBnXkFtZTgwNjM5MDI3MjE@._V1_SX300.jpg,104139,tt2180411,11,72,0,0,3,0,0,0,0,0
4931,none,A snobby musical theater camp is terrorized by a blood-thirsty killer who hates musical theater.,R,True,English,Stage Fright,Canada,Jerome Sable (screenplay); Jerome Sable (music and lyrics); Eli Batalion (music and lyrics),39,5.2,Jerome Sable,03 Apr 2014,Minnie Driver; Meat Loaf; Allie MacDonald; Douglas Smith,2014,Horror; Musical,1 nomination.,89 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0ODEwNjQ4Ml5BMl5BanBnXkFtZTgwMDQ4OTMzMTE@._V1_SX300.jpg,3567,tt2190838,0,1,0,0,0,0,0,0,0,0
4932,none,A romantic drama set in Germany just before WWI and centered on a married woman who falls in love with her husband's protégé. Separated first by duties and then by the war; they pledge their devotion to one another.,R,True,English,A Promise,France; Belgium,Patrice Leconte (screenplay); Jérôme Tonnerre (screenplay); Stefan Zweig (novel),36,5.7,Patrice Leconte,16 Apr 2014,Rebecca Hall; Alan Rickman; Richard Madden; Toby Murray,2013,Drama; Romance,1 win & 1 nomination.,98 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3ODYwNTgwMV5BMl5BanBnXkFtZTgwNTEyODM2MTE@._V1_SX300.jpg,2560,tt2191082,1,1,0,0,0,0,0,0,0,0
4934,none,A company retreat on a tropical island goes terribly awry.,NOT RATED,True,English,Welcome to the Jungle,Puerto Rico; USA; UK,Jeff Kauffmann,25,5.0,Rob Meltzer,08 Feb 2014,Jean-Claude Van Damme; Adam Brody; Rob Huebel; Kristen Schaal,2013,Action; Adventure; Comedy,1 win.,95 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyNDk5ODE0OV5BMl5BanBnXkFtZTgwMDMyNzE4MDE@._V1_SX300.jpg,9760,tt2193265,1,0,0,0,0,0,0,0,0,0
4935,none,At the age of 21; Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.,R,True,English,About Time,UK,Richard Curtis,55,7.8,Richard Curtis,08 Nov 2013,Domhnall Gleeson; Rachel McAdams; Bill Nighy; Lydia Wilson,2013,Comedy; Drama; Fantasy,3 wins & 9 nominations.,123 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1ODUzMDA3NzFeQTJeQWpwZ15BbWU3MDgxMTYxNTk@._V1_SX300.jpg,208578,tt2194499,3,9,0,0,0,0,0,0,0,0
4939,none,Shortly after failing to rescue a drowning man; Donato meets Konrad; a friend of the victim. They soon begin a relationship which seems doomed from the start; while Donato's past catches up with him.,UNRATED,True,Portuguese; German; English,Futuro Beach,Brazil; Germany,Felipe Bragança; Karim Aïnouz; Marco Dutra (contributing writer),64,6.1,Karim Aïnouz,27 Feb 2015,Wagner Moura; Clemens Schick; Jesuíta Barbosa; Fred Lima,2014,Drama; Romance,8 wins & 11 nominations.,106 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxODYxMDAxM15BMl5BanBnXkFtZTgwMjEwNDIzNDE@._V1_SX300.jpg,1841,tt2199543,8,11,0,0,0,0,0,0,0,0
4940,none,A group of middle aged women play basketball and prove a point.,R,True,English,The Hot Flashes,USA,Brad Hennig,36,5.0,Susan Seidelman,09 Aug 2013,Brooke Shields; Daryl Hannah; Wanda Sykes; Andrea Frankle,2013,Comedy,2 nominations.,99 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ4OTM5NDk3NV5BMl5BanBnXkFtZTcwNDY1NTk1OQ@@._V1_SX300.jpg,1398,tt2201251,0,2,0,0,0,0,0,0,0,0
4942,none,After discovering her boyfriend is married; Carly soon meets the wife he's been betraying. And when yet another love affair is discovered; all three women team up to plot revenge on the three-timing S.O.B.,PG-13,True,English,The Other Woman,USA,Melissa Stack,39,6.0,Nick Cassavetes,25 Apr 2014,Cameron Diaz; Leslie Mann; Nikolaj Coster-Waldau; Don Johnson,2014,Comedy; Romance,3 wins & 4 nominations.,109 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0ODE4ODY1OF5BMl5BanBnXkFtZTgwMDA5NjkzMTE@._V1_SX300.jpg,107245,tt2203939,3,4,0,0,0,0,0,0,0,0
4945,none,A scientist's drive for artificial intelligence; takes on dangerous implications when his consciousness is uploaded into one such program.,PG-13,True,English,Transcendence,UK; China; USA,Jack Paglen,42,6.3,Wally Pfister,18 Apr 2014,Johnny Depp; Rebecca Hall; Paul Bettany; Cillian Murphy,2014,Drama; Mystery; Romance,2 wins & 5 nominations.,119 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1MjQ3ODAyOV5BMl5BanBnXkFtZTgwNjI1NDQ0MTE@._V1_SX300.jpg,176517,tt2209764,2,5,0,0,0,0,0,0,0,0
4954,none,A New Jersey guy dedicated to his family; friends; and church; develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.,R,True,English,Don Jon,USA,Joseph Gordon-Levitt,66,6.6,Joseph Gordon-Levitt,27 Sep 2013,Joseph Gordon-Levitt; Scarlett Johansson; Julianne Moore; Tony Danza,2013,Comedy; Drama; Romance,1 win & 28 nominations.,90 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxNTc3NDM2MF5BMl5BanBnXkFtZTcwNzQ5NTQ3OQ@@._V1._CR28;28.649993896484375;1271;1991.0000305175781_SX89_AL_.jpg_V1_SX300.jpg,193458,tt2229499,1,28,0,0,0,0,0,0,0,0
4956,none,A divorced couple scheme to recover the retirement money that was stolen from them.,PG-13,True,English; French,The Love Punch,France; UK,Joel Hopkins; Tess Morris (additional writing by),44,5.7,Joel Hopkins,23 May 2014,Emma Thompson; Pierce Brosnan; Celia Imrie; Timothy Spall,2013,Comedy,1 nomination.,94 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyNjAyOTMxMV5BMl5BanBnXkFtZTgwMTM5NDc3MTE@._V1_SX300.jpg,9382,tt2234261,0,1,0,0,0,0,0,0,0,0
4963,none,Malcolm and Kisha move into their dream home; but soon learn a demon also resides there. When Kisha becomes possessed; Malcolm - determined to keep his sex life on track - turns to a priest; a psychic; and a team of ghost-busters for help.,R,True,English; Spanish,A Haunted House,USA,Marlon Wayans; Rick Alvarez,20,5.1,Michael Tiddes,11 Jan 2013,Marlon Wayans; Marlene Forte; Essence Atkins; David Koechner,2013,Comedy; Fantasy,1 win & 1 nomination.,86 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1ODgyOTI0NF5BMl5BanBnXkFtZTcwODgyMDY3OA@@._V1_SX300.jpg,35174,tt2243537,1,1,0,0,0,0,0,0,0,0
4964,none,Newlywed couple Nat and Josh are deliriously happy despite their differences; though friends and family aren't convinced that they can last. With their first anniversary approaching and attractive alternatives in the mix; can they last?,R,True,English,I Give It a Year,UK; France,Dan Mazer (screenplay),50,5.7,Dan Mazer,08 Feb 2013,Rose Byrne; Rafe Spall; Alex Macqueen; Stephen Merchant,2013,Comedy; Romance,1 win & 1 nomination.,97 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NDk4MTUwNl5BMl5BanBnXkFtZTcwMDU5MTc4OQ@@._V1_SX300.jpg,30565,tt2244901,1,1,0,0,0,0,0,0,0,0
4965,none,The special bond that develops between plus-sized inflatable robot Baymax; and prodigy Hiro Hamada; who team up with a group of friends to form a band of high-tech heroes.,PG,True,English,Big Hero 6,USA,Jordan Roberts (screenplay); Robert L. Baird (screenplay); Daniel Gerson (screenplay); Man of Action (Big Hero 6 team and characters created by),74,7.9,Don Hall; Chris Williams,07 Nov 2014,Scott Adsit; Ryan Potter; Daniel Henney; T.J. Miller,2014,Animation; Action; Adventure,Won 1 Oscar. Another 13 wins & 53 nominations.,102 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMDliOTIzNmUtOTllOC00NDU3LWFiNjYtMGM0NDc1YTMxNjYxXkEyXkFqcGdeQXVyNTM3NzExMDQ@._V1_SX300.jpg,288150,tt2245084,14,53,0,0,0,1,0,0,0,0
4984,none,Manolo; a young man who is torn between fulfilling the expectations of his family and following his heart; embarks on an adventure that spans three fantastic worlds where he must face his greatest fears.,PG,True,English; Spanish,The Book of Life,USA,Jorge R. Gutiérrez; Douglas Langdale,67,7.3,Jorge R. Gutiérrez,17 Oct 2014,Diego Luna; Zoe Saldana; Channing Tatum; Ron Perlman,2014,Animation; Adventure; Comedy,Nominated for 1 Golden Globe. Another 3 wins & 27 nominations.,95 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzOTgzNDYzOF5BMl5BanBnXkFtZTgwOTgxMTkyMjE@._V1_SX300.jpg,47049,tt2262227,3,28,0,0,0,0,1,0,0,0
4986,none,Luke and Kate are coworkers at a brewery who spend their nights drinking and flirting heavily. One weekend away together with their significant others proves who really belongs together and who doesn't.,R,True,English,Drinking Buddies,USA,Joe Swanberg,71,6.1,Joe Swanberg,25 Jul 2013,Olivia Wilde; Jake Johnson; Anna Kendrick; Ron Livingston,2013,Comedy; Drama; Romance,1 win & 3 nominations.,90 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjMwNDU1NzMzM15BMl5BanBnXkFtZTcwNTY3ODk1OQ@@._V1_SX300.jpg,46846,tt2265398,1,3,0,0,0,0,0,0,0,0
4996,none,The adventures of Gustave H; a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars; and Zero Moustafa; the lobby boy who becomes his most trusted friend.,R,True,English; French,The Grand Budapest Hotel,USA; Germany; UK,Stefan Zweig (inspired by the writings of); Wes Anderson (screenplay); Wes Anderson (story); Hugo Guinness (story),88,8.1,Wes Anderson,28 Mar 2014,Ralph Fiennes; F. Murray Abraham; Mathieu Amalric; Adrien Brody,2014,Adventure; Comedy; Drama,Won 4 Oscars. Another 122 wins & 213 nominations.,99 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@._V1_SX300.jpg,494348,tt2278388,126,213,0,0,0,4,0,0,0,0
5000,none,While on a grand world tour; The Muppets find themselves wrapped into an European jewel-heist caper headed by a Kermit the Frog look-alike and his dastardly sidekick.,PG,True,English; German,Muppets Most Wanted,USA,James Bobin; Nicholas Stoller; Jim Henson (based on),61,6.4,James Bobin,21 Mar 2014,Ricky Gervais; Ty Burrell; Tina Fey; Steve Whitmire,2014,Adventure; Comedy; Crime,3 wins & 11 nominations.,107 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA2OTc0MzAxMDVeQTJeQWpwZ15BbWU4MDUyOTgxNDIx._V1_SX300.jpg,24815,tt2281587,3,11,0,0,0,0,0,0,0,0
5005,none,When Christian; an LA trust-fund kid with casual ties to Hollywood; learns of a secret affair between Tara and the lead of his film project; Ryan; he spirals out of control; and his cruel mind games escalate into an act of bloody violence.,R,True,English,The Canyons,USA,Bret Easton Ellis,36,3.9,Paul Schrader,02 Aug 2013,Lindsay Lohan; James Deen; Nolan Gerard Funk; Amanda Brooks,2013,Drama; Thriller,2 wins & 2 nominations.,99 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyMjk5NDA0OF5BMl5BanBnXkFtZTgwODEwNjU0MDE@._V1_SX300.jpg,8681,tt2292959,2,2,0,0,0,0,0,0,0,0
5006,none,When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter; her sister; Anna; teams up with a mountain man; his playful reindeer; and a snowman to change the weather condition.,PG,True,English; Icelandic,Frozen,USA,"Jennifer Lee (screenplay); Hans Christian Andersen (story inspired by ""The Snow Queen"" by); Chris Buck (story by); Jennifer Lee (story by); Shane Morris (story by)",74,7.6,Chris Buck; Jennifer Lee,27 Nov 2013,Kristen Bell; Idina Menzel; Jonathan Groff; Josh Gad,2013,Animation; Adventure; Comedy,Won 2 Oscars. Another 72 wins & 57 nominations.,102 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,429988,tt2294629,74,57,0,0,0,2,0,0,0,0
5015,none,Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,PG-13,True,English,The Hobbit: The Battle of the Five Armies,New Zealand; USA,Fran Walsh (screenplay); Philippa Boyens (screenplay); Peter Jackson (screenplay); Guillermo del Toro (screenplay); J.R.R. Tolkien (novel),59,7.4,Peter Jackson,17 Dec 2014,Ian McKellen; Martin Freeman; Richard Armitage; Ken Stott,2014,Adventure; Fantasy,Nominated for 1 Oscar. Another 6 wins & 45 nominations.,144 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BODAzMDgxMDc1MF5BMl5BanBnXkFtZTgwMTI0OTAzMjE@._V1_SX300.jpg,363235,tt2310332,6,46,0,0,1,0,0,0,0,0
5021,none,An unexpected romance blooms after the the youngest daughter of a merchant who has fallen on hard times offers herself to the mysterious beast to which her father has become indebted.,PG-13,True,French; English,Beauty and the Beast,France; Germany,Sandra Vo-Anh (scenario and dialogue); Christophe Gans (scenario and dialogue); Jeanne-Marie Leprince de Beaumont (book),39,6.4,Christophe Gans,23 Sep 2016,Vincent Cassel; Léa Seydoux; André Dussollier; Eduardo Noriega,2014,Fantasy; Romance,1 win & 3 nominations.,112 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI3NjM2NTkwM15BMl5BanBnXkFtZTgwMjk5OTA0MzE@._V1_SX300.jpg,13312,tt2316801,1,3,0,0,0,0,0,0,0,0
5027,none,Twin siblings enduring the harshness of WWII in a village on the Hungarian border hedge their survival on studying and learning from the evil surrounding them.,R,True,Hungarian; German,The Notebook,Hungary; Germany; Austria; France,Tom Abrams (dramaturge); Agota Kristof (novel); András Szekér (screenplay); János Szász (script),57,7.0,János Szász,19 Sep 2013,László Gyémánt; András Gyémánt; Piroska Molnár; Ulrich Thomsen,2013,Drama; War,5 wins & 2 nominations.,112 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMjU1MjYzOTc4NF5BMl5BanBnXkFtZTgwMjEyNTA0MjE@._V1_SX300.jpg,2263,tt2324384,5,2,0,0,0,0,0,0,0,0
5032,none,Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks; the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.,PG-13,True,English; Spanish,The Expendables 3,USA; France; Bulgaria,Sylvester Stallone (screenplay); Creighton Rothenberger (screenplay); Katrin Benedikt (screenplay); Sylvester Stallone (story); Dave Callaham (characters),35,6.1,Patrick Hughes,15 Aug 2014,Sylvester Stallone; Jason Statham; Harrison Ford; Arnold Schwarzenegger,2014,Action; Adventure; Thriller,1 win & 4 nominations.,126 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BODU5ODMyMzg2MV5BMl5BanBnXkFtZTgwMTA2MTcxMjE@._V1_SX300.jpg,130871,tt2333784,1,4,0,0,0,0,0,0,0,0
5037,none,40 years after the first haunting at Eel Marsh House; a group of children evacuated from WWII London arrive; awakening the house's darkest inhabitant.,PG-13,True,English,The Woman in Black 2: Angel of Death,UK; USA; Canada,Jon Croker (screenplay); Jon Croker; Susan Hill,42,4.9,Tom Harper,02 Jan 2015,Phoebe Fox; Merryn Pearse; Mary Roscoe; Helen McCrory,2014,Drama; Horror; Thriller,1 nomination.,98 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgxMjUyNTAxNF5BMl5BanBnXkFtZTgwNTk4MDUyMzE@._V1_SX300.jpg,20188,tt2339741,0,1,0,0,0,0,0,0,0,0
5053,none,It's a jungle out there for Blu; Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in; he goes beak-to-beak with the vengeful Nigel; and meets his father-in-law.,G,True,English; Portuguese,Rio 2,USA,Don Rhymer (screenplay); Carlos Kotkin (screenplay); Jenny Bicks (screenplay); Yoni Brenner (screenplay); Carlos Saldanha (story),49,6.4,Carlos Saldanha,11 Apr 2014,Jake T. Austin; Carlinhos Brown; Kristin Chenoweth; Jemaine Clement,2014,Animation; Adventure; Comedy,1 win & 19 nominations.,101 min,movie,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzMDczMDYzNl5BMl5BanBnXkFtZTgwMzk2MDIwMTE@._V1_SX300.jpg,59953,tt2357291,1,19,0,0,0,0,0,0,0,0
